HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2456217.76074,2012-10-17.2624365,bb,2.06,15.117,10.061,0.003,362.491,0.921,V
2456217.76260,2012-10-17.2643021,bb,2.04,15.112,10.055,0.003,364.441,0.993,V
2456221.74292,2012-10-21.2447173,ba,2.34,15.083,10.051,0.006,366.276,1.983,V
2456221.74474,2012-10-21.2465302,ba,2.32,15.084,10.049,0.005,366.831,1.860,V
2456230.71583,2012-10-30.2178063,ba,2.50,15.003,10.070,0.004,359.771,1.415,V
2456239.69398,2012-11-08.1960956,ba,2.29,15.093,10.067,0.003,360.604,1.172,V
2456239.69573,2012-11-08.1978413,ba,2.27,15.094,10.066,0.003,360.852,1.167,V
2456338.08480,2013-02-14.5851597,ba,2.11,14.942,10.089,0.004,353.498,1.355,V
2456338.08666,2013-02-14.5870155,ba,2.11,14.940,10.078,0.004,356.859,1.331,V
2456350.06082,2013-02-26.5607151,ba,2.13,14.907,10.102,0.005,349.366,1.589,V
2456350.06244,2013-02-26.5623405,ba,2.13,14.905,10.092,0.005,352.244,1.496,V
2456355.15696,2013-03-03.6566560,ba,2.05,14.960,10.057,0.003,364.064,1.213,V
2456355.15869,2013-03-03.6583858,ba,2.06,14.951,10.049,0.003,366.737,1.235,V
2456360.06447,2013-03-08.5639789,ba,2.05,14.961,10.088,0.004,353.742,1.243,V
2456360.06632,2013-03-08.5658265,ba,2.05,14.955,10.076,0.004,357.595,1.325,V
2456372.00282,2013-03-20.5018899,ba,1.83,14.963,10.095,0.004,351.639,1.307,V
2456372.00467,2013-03-20.5037354,ba,1.84,14.966,10.098,0.004,350.634,1.324,V
2456381.11117,2013-03-29.6099194,ba,1.73,14.946,10.056,0.004,364.334,1.363,V
2456381.11286,2013-03-29.6116085,ba,1.72,14.951,10.054,0.004,365.098,1.469,V
2456388.95921,2013-04-06.4577144,ba,2.21,14.489,10.048,0.015,367.186,5.019,V
2456388.96068,2013-04-06.4591870,ba,2.26,99.990,99.990,99.990,99.990,99.990,V
2456389.95628,2013-04-07.4547560,ba,2.15,14.919,10.054,0.004,365.025,1.358,V
2456389.95776,2013-04-07.4562318,ba,2.15,14.914,10.044,0.004,368.133,1.316,V
2456393.11396,2013-04-10.6123517,ba,1.81,14.972,10.054,0.004,364.755,1.290,V
2456393.11544,2013-04-10.6138291,ba,1.76,14.974,10.059,0.003,363.371,1.218,V
2456397.05481,2013-04-14.5530906,ba,2.02,14.951,10.057,0.004,363.908,1.342,V
2456397.05628,2013-04-14.5545644,ba,2.05,14.951,10.058,0.004,363.957,1.384,V
2456400.97368,2013-04-18.4718701,ba,2.29,14.927,10.086,0.005,354.262,1.467,V
2456400.97592,2013-04-18.4741136,ba,2.29,14.917,10.047,0.004,367.279,1.420,V
2456404.97640,2013-04-22.4745057,ba,2.11,14.927,10.042,0.004,369.054,1.387,V
2456404.98159,2013-04-22.4797015,ba,2.11,14.939,10.056,0.004,364.469,1.482,V
2456411.98085,2013-04-29.4788098,ba,2.11,14.881,10.081,0.005,356.262,1.537,V
2456411.98274,2013-04-29.4807075,ba,2.10,14.852,10.102,0.005,349.182,1.598,V
2456416.04459,2013-05-03.5424826,ba,2.08,14.963,10.094,0.004,351.945,1.321,V
2456416.04664,2013-05-03.5445429,ba,2.05,14.959,10.078,0.004,356.869,1.367,V
2456436.94902,2013-05-24.4467427,ba,2.45,14.861,10.055,0.006,364.665,1.786,V
2456436.95075,2013-05-24.4484710,ba,2.44,14.849,10.048,0.007,367.095,2.140,V
2456453.90846,2013-06-10.4062482,ba,2.00,14.754,10.037,0.004,370.794,1.452,V
2456458.89634,2013-06-15.3941802,ba,2.18,14.753,10.024,0.004,375.409,1.392,V
2456458.89770,2013-06-15.3955405,ba,2.17,14.772,10.068,0.004,360.387,1.400,V
2456461.89725,2013-06-18.3951260,ba,1.71,14.808,10.084,0.005,354.925,1.494,V
2456461.89861,2013-06-18.3964922,ba,1.79,14.813,10.083,0.004,355.332,1.370,V
2456464.87431,2013-06-21.3722386,ba,1.72,14.792,10.063,0.005,361.800,1.522,V
2456464.87568,2013-06-21.3736136,ba,1.81,14.775,10.063,0.005,362.111,1.556,V
2456467.94976,2013-06-24.4477358,ba,1.80,14.630,10.059,0.006,363.280,2.006,V
2456467.95114,2013-06-24.4491182,ba,2.02,14.702,10.121,0.006,343.266,1.903,V
2456470.97888,2013-06-27.4769177,ba,2.28,14.744,10.060,0.005,363.163,1.493,V
2456470.98026,2013-06-27.4782994,ba,2.29,14.743,10.067,0.005,360.764,1.556,V
2456474.88573,2013-07-01.3838520,ba,1.71,14.808,10.059,0.005,363.221,1.489,V
2456474.88711,2013-07-01.3852265,ba,1.77,14.807,10.052,0.004,365.709,1.388,V
2456477.87588,2013-07-04.3740688,ba,1.69,14.795,10.024,0.004,375.000,1.341,V
2456477.87734,2013-07-04.3755197,ba,1.81,14.807,10.052,0.004,365.460,1.261,V
2456482.86277,2013-07-09.3610759,ba,2.26,14.771,10.057,0.004,363.811,1.273,V
2456482.86418,2013-07-09.3624854,ba,2.25,14.767,10.060,0.004,362.865,1.338,V
2456485.85968,2013-07-12.3580656,ba,2.09,14.798,10.083,0.004,355.130,1.331,V
2456485.86110,2013-07-12.3594809,ba,2.08,14.776,10.047,0.004,367.547,1.252,V
2456488.85243,2013-07-15.3508878,ba,2.01,14.790,10.045,0.004,367.994,1.328,V
2456488.85379,2013-07-15.3522608,ba,2.01,14.801,10.071,0.004,359.178,1.245,V
2456491.85041,2013-07-18.3489594,ba,1.82,14.809,10.072,0.004,358.823,1.342,V
2456491.85178,2013-07-18.3503281,ba,1.70,14.796,10.070,0.004,359.748,1.376,V
2456494.84676,2013-07-21.3453995,ba,2.14,14.641,10.071,0.005,359.421,1.763,V
2456494.84814,2013-07-21.3467815,ba,2.16,14.623,10.053,0.005,365.457,1.739,V
2456509.82201,2013-08-05.3211466,ba,2.07,14.868,10.066,0.005,360.853,1.619,V
2456509.82385,2013-08-05.3229899,ba,2.10,14.839,10.022,0.005,376.068,1.558,V
2456516.77907,2013-08-12.2784579,ba,1.73,14.824,10.075,0.004,358.221,1.276,V
2456516.78042,2013-08-12.2798177,ba,1.73,14.811,10.045,0.005,367.779,1.484,V
2456519.79423,2013-08-15.2937364,ba,1.70,14.830,10.098,0.005,350.608,1.511,V
2456519.79561,2013-08-15.2951084,ba,1.71,14.816,10.074,0.004,358.350,1.266,V
2456522.79824,2013-08-18.2978598,ba,1.81,14.767,10.025,0.004,375.135,1.374,V
2456522.79961,2013-08-18.2992262,ba,1.82,14.783,10.058,0.004,363.486,1.365,V
2456523.79711,2013-08-19.2967603,ba,2.11,14.757,10.057,0.004,363.898,1.467,V
2456523.79846,2013-08-19.2981155,ba,2.12,14.759,10.062,0.004,362.287,1.389,V
2456526.79319,2013-08-22.2929577,ba,1.70,14.812,10.108,0.005,347.335,1.526,V
2456526.79456,2013-08-22.2943288,ba,1.73,14.807,10.090,0.005,352.814,1.487,V
2456532.79170,2013-08-28.2917006,ba,2.01,14.786,10.055,0.004,364.537,1.313,V
2456532.79308,2013-08-28.2930708,ba,2.05,14.792,10.076,0.004,357.576,1.301,V
2456535.81228,2013-08-31.3123913,ba,2.11,14.772,10.075,0.004,358.073,1.313,V
2456535.81365,2013-08-31.3137620,ba,2.14,14.762,10.059,0.004,363.184,1.317,V
