wl	flux	unc
10820.82854	0.00323556	3.23556E-05
10820.90764	0.017140359	0.000171404
10820.98673	0.011942481	0.000119425
10821.06581	-0.000139997	-1.39997E-06
10821.14488	-0.007574711	-7.57471E-05
10821.22394	0.007076279	7.07628E-05
10821.30299	0.003505852	3.50585E-05
10821.38203	0.001319534	1.31953E-05
10821.46106	0.001395165	1.39517E-05
10821.54008	0.025767719	0.000257677
10821.61909	0.008340631	8.34063E-05
10821.69809	0.012392412	0.000123924
10821.77708	0.004966157	4.96616E-05
10821.85607	0.013597709	0.000135977
10821.93504	0.000366641	3.66641E-06
10822.014	0.008629766	8.62977E-05
10822.09295	-0.008885055	-8.88506E-05
10822.17189	0.013291369	0.000132914
10822.25082	0.013081614	0.000130816
10822.32974	-0.014388908	-0.000143889
10822.40865	0.013438235	0.000134382
10822.48755	0.01816727	0.000181673
10822.56644	0.012899709	0.000128997
10822.64532	0.019442063	0.000194421
10822.7242	0.011712105	0.000117121
10822.80306	0.022674472	0.000226745
10822.88191	0.018167511	0.000181675
10822.96075	0.012361423	0.000123614
10823.03958	0.001788824	1.78882E-05
10823.1184	0.01260378	0.000126038
10823.19721	0.010126193	0.000101262
10823.27601	0.004266992	4.26699E-05
10823.35481	0.010793525	0.000107935
10823.43359	0.015108505	0.000151085
10823.51236	0.017949558	0.000179496
10823.59112	0.008291662	8.29166E-05
10823.66987	-0.010500865	-0.000105009
10823.74861	0.011874095	0.000118741
10823.82734	0.008964211	8.96421E-05
10823.90607	0.002466022	2.46602E-05
10823.98478	0.012769908	0.000127699
10824.06348	0.015014641	0.000150146
10824.14217	0.009797782	9.79778E-05
10824.22085	0.01453413	0.000145341
10824.29952	0.005258515	5.25851E-05
10824.37818	0.003197036	3.19704E-05
10824.45684	0.004834646	4.83465E-05
10824.53548	0.013755338	0.000137553
10824.61411	0.006748334	6.74833E-05
10824.69273	0.005004574	5.00457E-05
10824.77134	0.012010126	0.000120101
10824.84994	-0.002749203	-2.7492E-05
10824.92853	-0.017535947	-0.000175359
10825.00712	0.004853641	4.85364E-05
10825.08569	-0.015957638	-0.000159576
10825.16425	-0.003224326	-3.22433E-05
10825.2428	0.003948548	3.94855E-05
10825.32134	0.003710537	3.71054E-05
10825.39987	0.000420024	4.20024E-06
10825.47839	0.001229189	1.22919E-05
10825.5569	0.00738812	7.38812E-05
10825.6354	0.011494293	0.000114943
10825.71389	0.012732575	0.000127326
10825.79237	0.008059423	8.05942E-05
10825.87085	0.005141018	5.14102E-05
10825.94931	0.005532325	5.53233E-05
10826.02776	0.004847147	4.84715E-05
10826.1062	0.010069286	0.000100693
10826.18463	0.003834944	3.83494E-05
10826.26305	0.013716863	0.000137169
10826.34146	0.004260118	4.26012E-05
10826.41986	0.010682364	0.000106824
10826.49825	0.007359771	7.35977E-05
10826.57663	0.001633492	1.63349E-05
10826.655	-0.003256928	-3.25693E-05
10826.73336	0.002060549	2.06055E-05
10826.81171	0.010400682	0.000104007
10826.89005	0.01037589	0.000103759
10826.96838	0.005713302	5.7133E-05
10827.0467	0.021571326	0.000215713
10827.12501	0.015523743	0.000155237
10827.20331	0.01082769	0.000108277
10827.2816	0.002967219	2.96722E-05
10827.35987	-0.003903424	-3.90342E-05
10827.43814	-0.004161626	-4.16163E-05
10827.5164	0.017099288	0.000170993
10827.59465	0.012010831	0.000120108
10827.67289	0.007450132	7.45013E-05
10827.75112	0.007708938	7.70894E-05
10827.82934	-0.002631918	-2.63192E-05
10827.90754	0.012596632	0.000125966
10827.98574	0.008255176	8.25518E-05
10828.06393	0.014713107	0.000147131
10828.14211	0.01716594	0.000171659
10828.22028	0.022696538	0.000226965
10828.29843	0.020071898	0.000200719
10828.37658	0.015220829	0.000152208
10828.45472	0.008292695	8.29269E-05
10828.53285	0.013267657	0.000132677
10828.61096	0.03129401	0.00031294
10828.68907	0.026987959	0.00026988
10828.76717	0.020471425	0.000204714
10828.84525	0.026712467	0.000267125
10828.92333	0.026294014	0.00026294
10829.0014	0.017953423	0.000179534
10829.07945	0.026659899	0.000266599
10829.1575	0.034271613	0.000342716
10829.23554	0.042763321	0.000427633
10829.31356	0.02218192	0.000221819
10829.39158	0.025994547	0.000259945
10829.46958	0.037784048	0.00037784
10829.54758	0.018558356	0.000185584
10829.62556	0.025855005	0.00025855
10829.70354	0.021099704	0.000210997
10829.7815	0.017698117	0.000176981
10829.85946	0.018202308	0.000182023
10829.9374	0.020608106	0.000206081
10830.01534	-0.002033462	-2.03346E-05
10830.09326	0.005382866	5.38287E-05
10830.17118	0.022702201	0.000227022
10830.24908	0.012244335	0.000122443
10830.32697	-0.000194131	-1.94131E-06
10830.40486	0.01628358	0.000162836
10830.48273	0.02083479	0.000208348
10830.56059	0.02772998	0.0002773
10830.63844	0.02716598	0.00027166
10830.71629	0.022350293	0.000223503
10830.79412	0.038355352	0.000383554
10830.87194	0.025832576	0.000258326
10830.94975	0.04034635	0.000403464
10831.02756	0.018049183	0.000180492
10831.10535	0.029706743	0.000297067
10831.18313	0.026690756	0.000266908
10831.2609	0.03782364	0.000378236
10831.33866	0.051322662	0.000513227
10831.41641	0.044007426	0.000440074
10831.49415	0.05832448	0.000583245
10831.57188	0.053141712	0.000531417
10831.6496	0.051267847	0.000512678
10831.72731	0.057133677	0.000571337
10831.80501	0.07173589	0.000717359
10831.8827	0.073400319	0.000734003
10831.96038	0.07156739	0.000715674
10832.03805	0.066659657	0.000666597
10832.11571	0.078762371	0.000787624
10832.19336	0.086907751	0.000869078
10832.27099	0.084698962	0.00084699
10832.34862	0.103054797	0.001030548
10832.42624	0.062352691	0.000623527
10832.50385	0.076904056	0.000769041
10832.58144	0.102001445	0.001020014
10832.65903	0.095497352	0.000954974
10832.73661	0.100821963	0.00100822
10832.81417	0.084060007	0.0008406
10832.89173	0.10456871	0.001045687
10832.96928	0.100017747	0.001000177
10833.04681	0.093930886	0.000939309
10833.12434	0.088673569	0.000886736
10833.20185	0.076690629	0.000766906
10833.27936	0.07928725	0.000792873
10833.35685	0.065791656	0.000657917
10833.43434	0.074966089	0.000749661
10833.51181	0.07153763	0.000715376
10833.58927	0.064015186	0.000640152
10833.66673	0.064978464	0.000649785
10833.74417	0.042675205	0.000426752
10833.8216	0.038787365	0.000387874
10833.89903	0.033488836	0.000334888
10833.97644	0.033050369	0.000330504
10834.05384	0.031157257	0.000311573
10834.13123	0.021618956	0.00021619
10834.20861	0.037224822	0.000372248
10834.28598	0.026904493	0.000269045
10835.59972	0.00393902	3.93902E-05
10835.6769	0.00344515	3.44515E-05
10835.75408	-0.003171884	-3.17188E-05
10835.83124	-0.005126803	-5.1268E-05
10835.9084	0.010131422	0.000101314
10835.98554	0.00096469	9.6469E-06
10836.06268	0.009698189	9.69819E-05
10836.1398	0.002709313	2.70931E-05
10836.21691	-0.003646327	-3.64633E-05
10836.29401	-0.008279195	-8.27919E-05
10836.37111	-0.002389868	-2.38987E-05
10837.29541	0.008261834	8.26183E-05
10837.37237	-0.000846908	-8.46908E-06
10837.44931	-0.005283013	-5.28301E-05
10837.52625	-0.005910102	-5.9101E-05
10837.60318	0.013104755	0.000131048
10837.68009	-6.53E-06	-6.53345E-08
10837.757	0.012604568	0.000126046
10837.83389	0.005075696	5.0757E-05
10837.91078	-0.010893113	-0.000108931
10837.98765	0.006905743	6.90574E-05
10838.06452	0.010668871	0.000106689
10838.14137	0.000159452	1.59452E-06
10838.21821	0.004756777	4.75678E-05
10838.29505	0.013503775	0.000135038
10838.37187	0.020394072	0.000203941
10838.44868	0.011485414	0.000114854
10838.52548	0.010026354	0.000100264
10838.60227	0.00265349	2.65349E-05
10838.67906	0.007981866	7.98187E-05
10838.75583	0.011189859	0.000111899
10838.83259	0.012558793	0.000125588
10838.90934	0.001413292	1.41329E-05
10838.98608	0.00567036	5.67036E-05
10839.0628	0.011061006	0.00011061
10839.13952	0.006839887	6.83989E-05
10839.21623	-1.05E-05	-1.05138E-07
10839.29293	0.003015772	3.01577E-05
10839.36962	0.009486415	9.48642E-05
10839.44629	0.014272318	0.000142723
10839.52296	0.008515923	8.51592E-05
10839.59961	0.00555285	5.55285E-05
10839.67626	0.011259865	0.000112599
10839.75289	0.007710688	7.71069E-05
10839.82952	0.009775487	9.77549E-05
10839.90613	0.014352944	0.000143529
10839.98274	0.005684443	5.68444E-05
