Begin Date,Begin Time,Start JD,End Time,End JD
14-May,4:59,2459713.708,6:33,2459713.773
15-May,4:55,2459714.705,6:29,2459714.77
16-May,4:51,2459715.702,6:25,2459715.767
17-May,4:47,2459716.699,6:21,2459716.765
18-May,4:43,2459717.697,6:17,2459717.762
19-May,4:40,2459718.694,6:14,2459718.76
20-May,4:36,2459719.692,6:10,2459719.757
21-May,4:32,2459720.689,6:06,2459720.754
22-May,4:28,2459721.686,6:02,2459721.751
23-May,4:24,2459722.683,5:58,2459722.749
24-May,4:20,2459723.681,5:54,2459723.746
25-May,4:16,2459724.678,5:50,2459724.743
26-May,4:12,2459725.675,5:46,2459725.74
27-May,4:08,2459726.672,5:42,2459726.738
28-May,4:04,2459727.669,5:38,2459727.735
29-May,4:00,2459728.667,5:34,2459728.732
30-May,3:56,2459729.664,5:30,2459729.729
31-May,3:52,2459730.661,5:26,2459730.726
1-Jun,3:48,2459731.658,5:22,2459731.724
2-Jun,3:44,2459732.656,5:18,2459732.721
3-Jun,3:40,2459733.653,5:14,2459733.718
4-Jun,3:36,2459734.65,5:10,2459734.715
5-Jun,3:33,2459735.648,5:07,2459735.713
6-Jun,3:29,2459736.645,5:03,2459736.71
7-Jun,3:25,2459737.642,4:59,2459737.708
8-Jun,3:21,2459738.64,4:55,2459738.705
9-Jun,3:17,2459739.637,4:51,2459739.702
10-Jun,3:13,2459740.634,4:47,2459740.699
11-Jun,3:09,2459741.631,4:43,2459741.697
12-Jun,3:05,2459742.628,4:39,2459742.694
13-Jun,3:01,2459743.626,4:35,2459743.691
14-Jun,3:01,2459744.626,4:31,2459744.688
15-Jun,3:02,2459745.626,4:27,2459745.685
16-Jun,3:02,2459746.626,4:23,2459746.683
17-Jun,3:03,2459747.627,4:19,2459747.68
18-Jun,3:03,2459748.627,4:15,2459748.677
19-Jun,3:03,2459749.627,4:11,2459749.674
20-Jun,3:03,2459750.627,4:07,2459750.672
21-Jun,3:04,2459751.628,4:03,2459751.669
22-Jun,3:04,2459752.628,3:59,2459752.666
23-Jun,3:04,2459753.628,3:56,2459753.664
24-Jun,3:04,2459754.628,3:52,2459754.661
25-Jun,3:04,2459755.628,3:48,2459755.658
26-Jun,3:04,2459756.628,3:44,2459756.656
27-Jun,3:04,2459757.628,3:40,2459757.653
28-Jun,3:04,2459758.628,3:36,2459758.65
29-Jun,3:04,2459759.628,3:32,2459759.647
30-Jun,3:04,2459760.628,3:28,2459760.644
1-Jul,3:04,2459761.628,3:24,2459761.642
2-Jul,3:04,2459762.628,3:20,2459762.639
3-Jul,3:04,2459763.628,3:16,2459763.636
