Begin Date,Begin Time,Start JD,End Time,End JD,btjd_east_start,phase_east_start,normalized_phase_east_start,btjd_east_end,phase_east_end,normalized_phase_east_end
14-May,4:59,2459713.708,6:33,2459713.773,2713.708,0.44338,0.09217683,2713.773,0.50838,0.105690055
15-May,4:55,2459714.705,6:29,2459714.77,2714.705,1.44038,0.29944892,2714.77,1.50538,0.312962146
16-May,4:51,2459715.702,6:25,2459715.767,2715.702,-2.3727225,-0.493278989,2715.767,-2.3077225,-0.479765764
17-May,4:47,2459716.699,6:21,2459716.765,2716.699,-1.3757225,-0.286006899,2716.765,-1.3097225,-0.272285778
18-May,4:43,2459717.697,6:17,2459717.762,2717.697,-0.3777225,-0.078526913,2717.762,-0.3127225,-0.065013687
19-May,4:40,2459718.694,6:14,2459718.76,2718.694,0.6192775,0.128745177,2718.76,0.6852775,0.142466299
20-May,4:36,2459719.692,6:10,2459719.757,2719.692,1.6172775,0.336225164,2719.757,1.6822775,0.349738389
21-May,4:32,2459720.689,6:06,2459720.754,2720.689,-2.195825,-0.456502746,2720.754,-2.130825,-0.44298952
22-May,4:28,2459721.686,6:02,2459721.751,2721.686,-1.198825,-0.249230656,2721.751,-1.133825,-0.23571743
23-May,4:24,2459722.683,5:58,2459722.749,2722.683,-0.201825,-0.041958565,2722.749,-0.135825,-0.028237444
24-May,4:20,2459723.681,5:54,2459723.746,2723.681,0.796175,0.165521421,2723.746,0.861175,0.179034646
25-May,4:16,2459724.678,5:50,2459724.743,2724.678,1.793175,0.372793511,2724.743,1.858175,0.386306737
26-May,4:12,2459725.675,5:46,2459725.74,2725.675,-2.0199275,-0.419934399,2725.74,-1.9549275,-0.406421173
27-May,4:08,2459726.672,5:42,2459726.738,2726.672,-1.0229275,-0.212662308,2726.738,-0.9569275,-0.198941187
28-May,4:04,2459727.669,5:38,2459727.735,2727.669,-0.0259275,-0.005390218,2727.735,0.0400725,0.008330904
29-May,4:00,2459728.667,5:34,2459728.732,2728.667,0.9720725,0.202089768,2728.732,1.0370725,0.215602994
30-May,3:56,2459729.664,5:30,2459729.729,2729.664,1.9690725,0.409361859,2729.729,2.0340725,0.422875084
31-May,3:52,2459730.661,5:26,2459730.726,2730.661,-1.84403,-0.383366051,2730.726,-1.77903,-0.369852825
1-Jun,3:48,2459731.658,5:22,2459731.724,2731.658,-0.84703,-0.176093961,2731.724,-0.78103,-0.162372839
2-Jun,3:44,2459732.656,5:18,2459732.721,2732.656,0.15097,0.031386026,2732.721,0.21597,0.044899251
3-Jun,3:40,2459733.653,5:14,2459733.718,2733.653,1.14797,0.238658116,2733.718,1.21297,0.252171341
4-Jun,3:36,2459734.65,5:10,2459734.715,2734.65,2.14497,0.445930206,2734.715,2.20997,0.459443432
5-Jun,3:33,2459735.648,5:07,2459735.713,2735.648,-1.6671325,-0.346589808,2735.713,-1.6021325,-0.333076582
6-Jun,3:29,2459736.645,5:03,2459736.71,2736.645,-0.6701325,-0.139317717,2736.71,-0.6051325,-0.125804492
7-Jun,3:25,2459737.642,4:59,2459737.708,2737.642,0.3268675,0.067954373,2737.708,0.3928675,0.081675494
8-Jun,3:21,2459738.64,4:55,2459738.705,2738.64,1.3248675,0.275434359,2738.705,1.3898675,0.288947585
9-Jun,3:17,2459739.637,4:51,2459739.702,2739.637,2.3218675,0.48270645,2739.702,2.3868675,0.496219675
10-Jun,3:13,2459740.634,4:47,2459740.699,2740.634,-1.491235,-0.31002146,2740.699,-1.426235,-0.296508234
11-Jun,3:09,2459741.631,4:43,2459741.697,2741.631,-0.494235,-0.10274937,2741.697,-0.428235,-0.089028248
12-Jun,3:05,2459742.628,4:39,2459742.694,2742.628,0.502765,0.104522721,2742.694,0.568765,0.118243842
13-Jun,3:01,2459743.626,4:35,2459743.691,2743.626,1.500765,0.312002707,2743.691,1.565765,0.325515932
14-Jun,3:01,2459744.626,4:31,2459744.688,2744.626,-2.3093375,-0.480101515,2744.688,-2.2473375,-0.467211977
15-Jun,3:02,2459745.626,4:27,2459745.685,2745.626,-1.3093375,-0.272205738,2745.685,-1.2503375,-0.259939887
16-Jun,3:02,2459746.626,4:23,2459746.683,2746.626,-0.3093375,-0.06430996,2746.683,-0.2523375,-0.052459901
17-Jun,3:03,2459747.627,4:19,2459747.68,2747.627,0.6916625,0.143793713,2747.68,0.7446625,0.15481219
18-Jun,3:03,2459748.627,4:15,2459748.677,2748.627,1.6916625,0.351689491,2748.677,1.7416625,0.36208428
19-Jun,3:03,2459749.627,4:11,2459749.674,2749.627,-2.11844,-0.440414731,2749.674,-2.07144,-0.43064363
20-Jun,3:03,2459750.627,4:07,2459750.672,2750.627,-1.11844,-0.232518954,2750.672,-1.07344,-0.223163644
21-Jun,3:04,2459751.628,4:03,2459751.669,2751.628,-0.11744,-0.02441528,2751.669,-0.07644,-0.015891553
22-Jun,3:04,2459752.628,3:59,2459752.666,2752.628,0.88256,0.183480498,2752.666,0.92056,0.191380537
23-Jun,3:04,2459753.628,3:56,2459753.664,2753.628,1.88256,0.391376275,2753.664,1.91856,0.398860523
24-Jun,3:04,2459754.628,3:52,2459754.661,2754.628,-1.9275425,-0.400727947,2754.661,-1.8945425,-0.393867386
25-Jun,3:04,2459755.628,3:48,2459755.658,2755.628,-0.9275425,-0.192832169,2755.658,-0.8975425,-0.186595296
26-Jun,3:04,2459756.628,3:44,2459756.656,2756.628,0.0724575,0.015063608,2756.656,0.1004575,0.02088469
27-Jun,3:04,2459757.628,3:40,2459757.653,2757.628,1.0724575,0.222959386,2757.653,1.0974575,0.22815678
28-Jun,3:04,2459758.628,3:36,2459758.65,2758.628,2.0724575,0.430855164,2758.65,2.0944575,0.435428871
29-Jun,3:04,2459759.628,3:32,2459759.647,2759.628,-1.737645,-0.361249059,2759.647,-1.718645,-0.357299039
30-Jun,3:04,2459760.628,3:28,2459760.644,2760.628,-0.737645,-0.153353281,2760.644,-0.721645,-0.150026949
