Begin Date,Begin Time,Start JD,End Time,End JD
14-May,10:28,2459713.936,11:03,2459713.96
15-May,10:24,2459714.933,11:02,2459714.96
16-May,10:20,2459715.931,11:02,2459715.96
17-May,10:16,2459716.928,11:01,2459716.959
18-May,10:12,2459717.925,11:00,2459717.958
19-May,10:09,2459718.923,10:59,2459718.958
20-May,10:05,2459719.92,10:59,2459719.958
21-May,10:01,2459720.917,10:58,2459720.957
22-May,9:57,2459721.915,10:58,2459721.957
23-May,9:53,2459722.912,10:57,2459722.956
24-May,9:49,2459723.909,10:56,2459723.956
25-May,9:45,2459724.906,10:56,2459724.956
26-May,9:41,2459725.903,10:55,2459725.955
27-May,9:37,2459726.901,10:55,2459726.955
28-May,9:33,2459727.898,10:55,2459727.955
29-May,9:29,2459728.895,10:54,2459728.954
30-May,9:25,2459729.892,10:54,2459729.954
31-May,9:21,2459730.89,10:53,2459730.953
1-Jun,9:17,2459731.887,10:51,2459731.952
2-Jun,9:13,2459732.884,10:47,2459732.949
3-Jun,9:09,2459733.881,10:43,2459733.947
4-Jun,9:05,2459734.878,10:39,2459734.944
5-Jun,9:02,2459735.876,10:36,2459735.942
6-Jun,8:58,2459736.874,10:32,2459736.939
7-Jun,8:54,2459737.871,10:28,2459737.936
8-Jun,8:50,2459738.868,10:24,2459738.933
9-Jun,8:46,2459739.865,10:20,2459739.931
10-Jun,8:42,2459740.863,10:16,2459740.928
11-Jun,8:38,2459741.86,10:12,2459741.925
12-Jun,8:34,2459742.857,10:08,2459742.922
13-Jun,8:30,2459743.854,10:04,2459743.919
14-Jun,8:26,2459744.851,10:00,2459744.917
15-Jun,8:22,2459745.849,9:56,2459745.914
16-Jun,8:18,2459746.846,9:52,2459746.911
17-Jun,8:14,2459747.843,9:48,2459747.908
18-Jun,8:10,2459748.84,9:44,2459748.906
19-Jun,8:06,2459749.838,9:40,2459749.903
20-Jun,8:02,2459750.835,9:36,2459750.9
21-Jun,7:58,2459751.832,9:32,2459751.897
22-Jun,7:54,2459752.829,9:28,2459752.894
23-Jun,7:51,2459753.827,9:25,2459753.892
24-Jun,7:47,2459754.824,9:21,2459754.89
25-Jun,7:43,2459755.822,9:17,2459755.887
26-Jun,7:39,2459756.819,9:13,2459756.884
27-Jun,7:35,2459757.816,9:09,2459757.881
28-Jun,7:31,2459758.813,9:05,2459758.878
29-Jun,7:27,2459759.81,9:01,2459759.876
30-Jun,7:23,2459760.808,8:57,2459760.873
1-Jul,7:19,2459761.805,8:53,2459761.87
2-Jul,7:15,2459762.802,8:49,2459762.867
3-Jul,7:11,2459763.799,8:45,2459763.865
4-Jul,7:07,2459764.797,8:41,2459764.862
5-Jul,7:03,2459765.794,8:37,2459765.859
6-Jul,6:59,2459766.791,8:33,2459766.856
7-Jul,6:55,2459767.788,8:29,2459767.853
8-Jul,6:51,2459768.785,8:25,2459768.851
9-Jul,6:47,2459769.783,8:21,2459769.848
10-Jul,6:44,2459770.781,8:18,2459770.846
11-Jul,6:40,2459771.778,8:14,2459771.843
12-Jul,6:36,2459772.775,8:10,2459772.84
13-Jul,6:32,2459773.772,8:06,2459773.838
14-Jul,6:28,2459774.769,8:02,2459774.835
15-Jul,6:24,2459775.767,7:58,2459775.832
16-Jul,6:20,2459776.764,7:54,2459776.829
17-Jul,6:16,2459777.761,7:50,2459777.826
18-Jul,6:12,2459778.758,7:46,2459778.824
19-Jul,6:08,2459779.756,7:42,2459779.821
20-Jul,6:04,2459780.753,7:38,2459780.818
21-Jul,6:00,2459781.75,7:34,2459781.815
22-Jul,5:56,2459782.747,7:30,2459782.813
23-Jul,5:52,2459783.744,7:26,2459783.81
24-Jul,5:48,2459784.742,7:22,2459784.807
25-Jul,5:44,2459785.739,7:18,2459785.804
26-Jul,5:40,2459786.736,7:14,2459786.801
27-Jul,5:36,2459787.733,7:10,2459787.799
28-Jul,5:33,2459788.731,7:07,2459788.797
29-Jul,5:29,2459789.728,7:03,2459789.794
30-Jul,5:25,2459790.726,6:59,2459790.791
31-Jul,5:21,2459791.723,6:55,2459791.788
