Begin Date,Begin Time,Start JD,End Time,End JD,btjd_west_start,phase_west_start,normalized_phase_west_start,btjd_west_end,phase_west_end,normalized_phase_west_end
14-May,10:28,2459713.936,11:03,2459713.96,2713.936,0.67138,0.139577067,2713.96,0.69538,0.144566566
15-May,10:24,2459714.933,11:02,2459714.96,2714.933,1.66838,0.346849158,2714.96,1.69538,0.352462344
16-May,10:20,2459715.931,11:02,2459715.96,2715.931,-2.1437225,-0.445670856,2715.96,-2.1147225,-0.439641879
17-May,10:16,2459716.928,11:01,2459716.959,2716.928,-1.1467225,-0.238398766,2716.959,-1.1157225,-0.231953997
18-May,10:12,2459717.925,11:00,2459717.958,2717.925,-0.1497225,-0.031126676,2717.958,-0.1167225,-0.024266115
19-May,10:09,2459718.923,10:59,2459718.958,2718.923,0.8482775,0.176353311,2718.958,0.8832775,0.183629663
20-May,10:05,2459719.92,10:59,2459719.958,2719.92,1.8452775,0.383625401,2719.958,1.8832775,0.39152544
21-May,10:01,2459720.917,10:58,2459720.957,2720.917,-1.967825,-0.409102509,2720.957,-1.927825,-0.400786678
22-May,9:57,2459721.915,10:58,2459721.957,2721.915,-0.969825,-0.201622523,2721.957,-0.927825,-0.1928909
23-May,9:53,2459722.912,10:57,2459722.956,2722.912,0.027175,0.005649568,2722.956,0.071175,0.014796982
24-May,9:49,2459723.909,10:56,2459723.956,2723.909,1.024175,0.212921658,2723.956,1.071175,0.22269276
25-May,9:45,2459724.906,10:56,2459724.956,2724.906,2.021175,0.420193748,2724.956,2.071175,0.430588537
26-May,9:41,2459725.903,10:55,2459725.955,2725.903,-1.7919275,-0.372534161,2725.955,-1.7399275,-0.361723581
27-May,9:37,2459726.901,10:55,2459726.955,2726.901,-0.7939275,-0.165054175,2726.955,-0.7399275,-0.153827803
28-May,9:33,2459727.898,10:55,2459727.955,2727.898,0.2030725,0.042217915,2727.955,0.2600725,0.054067975
29-May,9:29,2459728.895,10:54,2459728.954,2728.895,1.2000725,0.249490006,2728.954,1.2590725,0.261755857
30-May,9:25,2459729.892,10:54,2459729.954,2729.892,2.1970725,0.456762096,2729.954,2.2590725,0.469651634
31-May,9:21,2459730.89,10:53,2459730.953,2730.89,-1.61503,-0.335757918,2730.953,-1.55203,-0.322660484
1-Jun,9:17,2459731.887,10:51,2459731.952,2731.887,-0.61803,-0.128485827,2731.952,-0.55303,-0.114972602
2-Jun,9:13,2459732.884,10:47,2459732.949,2732.884,0.37897,0.078786263,2732.949,0.44397,0.092299488
3-Jun,9:09,2459733.881,10:43,2459733.947,2733.881,1.37597,0.286058353,2733.947,1.44197,0.299779475
4-Jun,9:05,2459734.878,10:39,2459734.944,2734.878,2.37297,0.493330444,2734.944,-2.3711325,-0.492948435
5-Jun,9:02,2459735.876,10:36,2459735.942,2735.876,-1.4391325,-0.29918957,2735.942,-1.3731325,-0.285468449
