Gl 436 b& CAO 3.5m/CARMENES &  2018Sci...362.1388N 
KELT-9 b& CAO 3.5m/CARMENES &  2018Sci...362.1388N 
WASP-12 b& HST/WFC3 &  2018RNAAS...2...44K  
K2-100 b& Subaru/IRD &  2020MNRAS.495..650G 
WASP-127 b& Gemini/Phoenix &  DosSantos20 
AU Mic b& Subaru/IRD + Keck II/NIRSPEC &  2020ApJ...899L..13H  
HD 97658 b& Keck II/NIRSPEC &  2020AJ....160..258K 
55 Cnc b& Keck II/NIRSPEC &  2021AJ....161..181Z 
TRAPPIST-1 b& Subaru/IRD + HET/HPF &  2021AJ....162...82K 
K2-136 c& Subaru/IRD &  2021RNAAS...5..238G 
V1298 Tau b& Palomar/WIRC &  2021AJ....162..222V 
V1298 Tau c& Palomar/WIRC &  2021AJ....162..222V 
WASP-80 b& TNG/GIANO + Palomar/WIRC &  Fossati22, 2022arXiv220411865V 
GJ 9827 d& Keck II/NIRSPEC &  2020AJ....160..258K 
Tau Boo b& CAO 3.5m/CARMENES &  Zhang20
GJ 9827 b& CAO 3.5m/CARMENES &  2021AJ....161..136C 
HD 63433 b& Keck II/NIRSPEC &  2022AJ....163...68Z  
