date,ew,ew_unc,int_wv,jd,qidx,star_name,time
8/9/2020,1.177058678,0.038186446,8542,2459070.849,4967,HAT-P-32_1_IN,8:23:13
8/9/2020,1.173182015,0.030147852,8542,2459070.859,4967,HAT-P-32_1_IN,8:37:26
8/9/2020,1.100333682,0.025345968,8542,2459070.869,4967,HAT-P-32_1_IN,8:51:38
8/9/2020,1.089765261,0.022047809,8542,2459070.879,4967,HAT-P-32_1_IN,9:05:51
8/9/2020,1.129137084,0.022519493,8542,2459070.889,4967,HAT-P-32_1_IN,9:20:04
8/9/2020,1.111386517,0.025273694,8542,2459070.899,4967,HAT-P-32_1_IN,9:34:17
9/19/2020,1.104340081,0.029879939,8542,2459111.738,6062,HAT-P-32_3_IN,5:42:56
9/19/2020,1.093289406,0.025189367,8542,2459111.748,6062,HAT-P-32_3_IN,5:57:09
9/19/2020,1.101151695,0.022643976,8542,2459111.758,6062,HAT-P-32_3_IN,6:11:22
9/19/2020,7.398148325,5.315551234,8542,2459111.768,6062,HAT-P-32_3_IN,6:25:35
9/19/2020,1.066591125,0.021262048,8542,2459111.778,6062,HAT-P-32_3_IN,6:39:47
9/19/2020,1.116096586,0.023468277,8542,2459111.788,6062,HAT-P-32_3_IN,6:54:00
8/7/2020,1.185672876,0.03274045,8542,2459068.864,4968,HAT-P-32_1_OUT_b2,8:43:26
8/7/2020,#NAME?,,8542,2459068.873,4968,HAT-P-32_1_OUT_b2,8:57:39
8/7/2020,1.297004951,0.559513344,8542,2459068.883,4968,HAT-P-32_1_OUT_b2,9:11:52
8/7/2020,1.146377192,0.028672085,8542,2459068.893,4968,HAT-P-32_1_OUT_b2,9:26:05
8/8/2020,1.139074014,0.021518241,8542,2459069.863,4969,HAT-P-32_1_OUT_b1,8:42:34
8/8/2020,1.1755588,0.020996604,8542,2459069.873,4969,HAT-P-32_1_OUT_b1,8:56:47
8/8/2020,1.135502205,0.018244486,8542,2459069.883,4969,HAT-P-32_1_OUT_b1,9:11:00
8/8/2020,1.103999844,0.021023443,8542,2459069.893,4969,HAT-P-32_1_OUT_b1,9:25:12
9/18/2020,1.057904768,0.022617399,8542,2459110.97,6065,HAT-P-32_3_OUT_b1,11:16:35
9/18/2020,1.065271125,0.021732629,8542,2459110.98,6065,HAT-P-32_3_OUT_b1,11:30:48
9/18/2020,1.078319538,0.021481982,8542,2459110.99,6065,HAT-P-32_3_OUT_b1,11:45:01
9/19/2020,1.131814335,0.020463068,8542,2459111.972,6063,HAT-P-32_3_OUT_d,11:19:27
9/19/2020,1.053027776,0.016060715,8542,2459111.982,6063,HAT-P-32_3_OUT_d,11:33:39
9/20/2020,1.055477729,0.022388786,8542,2459112.967,6066,HAT-P-32_3_OUT_a1,11:11:49
9/20/2020,1.122550222,0.215388997,8542,2459112.976,6066,HAT-P-32_3_OUT_a1,11:26:02
9/20/2020,1.089945158,0.018944536,8542,2459112.986,6066,HAT-P-32_3_OUT_a1,11:40:14
9/20/2020,1.100797259,0.023971792,8542,2459112.996,6066,HAT-P-32_3_OUT_a1,11:54:27
9/22/2020,1.113472145,0.024237655,8542,2459114.961,6067,HAT-P-32_3_OUT_a2,11:04:23
9/22/2020,1.05534927,0.021240558,8542,2459114.971,6067,HAT-P-32_3_OUT_a2,11:18:35
9/22/2020,1.110876298,0.023808526,8542,2459114.981,6067,HAT-P-32_3_OUT_a2,11:32:48
9/22/2020,1.065917605,0.022583744,8542,2459114.991,6067,HAT-P-32_3_OUT_a2,11:47:01
8/1/2020,1.082135507,0.018424228,8542,2459062.905,6317,hat-p-32_p4,9:43:39
8/1/2020,1.135086331,0.0199638,8542,2459062.915,6317,hat-p-32_p4,9:57:52
9/4/2020,1.109008134,0.042019855,8542,2459096.788,4973,HAT-P-32_2_OUT_b2,6:54:43
9/4/2020,1.08999756,0.031622727,8542,2459096.798,4973,HAT-P-32_2_OUT_b2,7:08:56
9/4/2020,1.082785901,0.029056075,8542,2459096.808,4973,HAT-P-32_2_OUT_b2,7:23:08
9/4/2020,1.136548159,0.03191081,8542,2459096.818,4973,HAT-P-32_2_OUT_b2,7:37:21
9/5/2020,1.099049293,0.022785013,8542,2459097.824,4974,HAT-P-32_2_OUT_b1,7:46:05
